location_name,latitude,longitude,image_url
"昔の船着き場「雁木（がんぎ）」","34.18021","132.8678","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%973_%E9%9B%81%E6%9C%A8.png"
"商売繁盛を願うならココ","34.18003","132.86791","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%974_%E6%81%B5%E7%BE%8E%E9%A0%88%E7%A5%9E%E7%A4%BE.png"
"語りかける「石」","34.179","132.86597","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%975_%E8%AA%9E%E3%82%8A%E3%81%8B%E3%81%91%E3%82%8B%E7%9F%B3.png"
"異国情緒のテラス","34.1797","132.86753","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%976_%E3%83%86%E3%83%A9%E3%82%B9.png"
"潮待ちの船宿","34.17978","132.86793","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%977_%E8%88%B9%E5%AE%BF.png"
"御手洗のお手洗","34.17975","132.86832","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%978_%E3%81%8A%E6%89%8B%E6%B4%97%E3%81%84.png"
"船乗りの楽園「若胡子屋」跡","34.179","132.8663","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%979_%E8%8B%A5%E8%83%A1%E5%AD%90%E5%B1%8B%E8%B7%A1.png"
"満州寺の石垣","34.17875","132.86722","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%9710_%E7%9F%B3%E5%9E%A3.png"
"名人のいる老舗時計店","34.17945","132.86711","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E5%BE%A1%E6%89%8B%E6%B4%9711_%E8%80%81%E8%88%97%E6%99%82%E8%A8%88%E5%BA%97.png"
"むろきはら橋（ループ橋）","34.176222054142286","132.79820196824514","undefined"
"石碑のある井戸(1)","34.1755856450238","132.7956469168991","undefined"
"豊浜まちづくりセンター（あび資料展示室）","34.176531562243326","132.79875566877092","undefined"
"豊浜市民センター","34.17594","132.79889","undefined"
"とよはまケーブルテレビ","34.17589","132.79935","undefined"
"室原神社","34.175759339657525","132.79831042207283","undefined"
"カラフルな家","34.175449425463775","132.79597776228272","undefined"
